"title","year","length","budget","rating","votes","mpaa"
"Life as a House",2001,127,18000000,7.5,7696,"R"
"Life of David Gale, The",2003,130,50000000,7.1,10580,"R"
"Life of a Gigolo",1998,91,NA,2.7,54,"R"
"Life or Something Like It",2002,105,NA,5.7,3620,"PG-13"
"Life/Drawing",2001,89,NA,7.6,10,"R"
"Lifebreath",1997,90,NA,4.3,107,"R"
"Light It Up",1999,99,13000000,5.7,856,"R"
"Lightning in a Bottle",2004,108,NA,6.2,85,"PG-13"
"Like Mike",2002,99,30000000,4.9,1484,"PG"
"Lil' River Rats and the Adventure of the Lost Treasure, The",2003,80,NA,7,10,"PG"
"Lilies - Les feluettes",1996,95,NA,7.4,761,"R"
"Lilja 4-ever",2002,109,NA,8,4631,"R"
"Lilo & Stitch",2002,86,80000000,7.3,10944,"PG"
"Limbo",1999,126,8300000,7.1,2063,"R"
"Limey, The",1999,89,9000000,7.2,7732,"R"
"Lin shi rong",1979,108,NA,7.6,232,"PG-13"
"Lip Service",2001,95,NA,4.2,44,"R"
"Liquid Bridge",2003,98,NA,3.5,51,"R"
"List, The",2000,93,NA,5,113,"R"
"Listen",1996,101,NA,5,108,"R"
"Little Big Man",1970,149,NA,7.7,6385,"PG-13"
"Little Bigfoot 2: The Journey Home",1997,93,NA,2.7,31,"PG"
"Little Bit of Soul, A",1998,96,NA,5.8,142,"R"
"Little Black Book",2004,111,35000000,4.7,1894,"PG-13"
"Little Boy Blue",1997,105,NA,6.3,453,"R"
"Little City",1997,93,NA,6.1,367,"R"
"Little Inside, A",2001,95,NA,5.6,60,"PG"
"Little Miss Magic",1997,86,NA,3.3,42,"PG"
"Little Nicky",2000,90,80000000,4.9,9485,"PG-13"
"Little Red",2000,85,NA,3.1,19,"R"
"Little Secrets",2001,97,2500000,6.9,457,"PG"
"Little Shop of Erotica",2001,87,NA,1.9,24,"R"
"Little Shots of Happiness",1997,83,NA,4.1,44,"R"
"Little Vampire, The",2000,91,22000000,5.6,601,"PG"
"Little Voice",1998,96,NA,7.1,4592,"R"
"Little Witches",1996,90,NA,4,379,"R"
"Live Forever",2003,82,NA,6.8,233,"R"
"Live Nude Girls",1995,95,NA,5.6,449,"R"
"Livers Ain't Cheap",1997,89,2500000,4.5,81,"R"
"Living Out Loud",1998,103,12000000,6.5,1774,"R"
"Living in Oblivion",1995,90,NA,7.4,3438,"R"
"Living the Life",2000,90,NA,7.3,25,"R"
"Lizzie McGuire Movie, The",2003,94,17000000,5,2541,"PG"
"Lloyd",2001,74,NA,5,149,"PG"
"Loch Ness",1996,101,NA,5,560,"PG"
"Lock, Stock and Two Smoking Barrels",1998,126,NA,7.9,34293,"R"
"Lockdown",2000,105,NA,5.9,220,"R"
"Locusts, The",1997,124,NA,5.9,482,"R"
"Lola rennt",1998,80,NA,8.2,32791,"R"
"Lolita",1997,137,58000000,6.8,5757,"R"
"Lone Hero",2002,90,NA,4.9,216,"R"
"Lone Star",1996,135,5000000,7.7,8518,"R"
"Lone Star State of Mind",2002,88,NA,5.6,514,"PG-13"
"Long Kiss Goodnight, The",1996,120,65000000,6.5,12516,"R"
"Long Run, The",2000,112,NA,5.3,73,"R"
"Long Time Dead",2002,95,NA,4.9,1215,"R"
"Long Weekend, The",1994,82,NA,5.7,9,"R"
"Long de xin",1985,91,NA,5.7,341,"R"
"Long hu feng yun",1987,101,NA,7.1,779,"R"
"Long xiao ye",1982,90,NA,6.5,304,"PG-13"
"Long xing tian xia",1989,89,NA,4.7,230,"R"
"Long zai jiang hu",1986,105,NA,5.5,98,"R"
"Longshot",2000,93,NA,2.4,316,"PG-13"
"Lookin' Italian",1998,97,NA,5.1,49,"R"
"Looking for Lola",1998,99,NA,3.8,95,"PG"
"Looking for Trouble",1996,79,NA,4.8,5,"PG"
"Looking for an Echo",2000,97,NA,6.1,105,"R"
"Looney Tunes: Back in Action",2003,91,80000000,6.1,2559,"PG"
"Lord of Illusions",1995,120,NA,5.3,2091,"R"
"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000,8.8,157608,"PG-13"
"Lord of the Rings: The Return of the King, The",2003,251,94000000,9,103631,"PG-13"
"Lord of the Rings: The Two Towers, The",2002,223,94000000,8.8,114797,"PG-13"
"Los Locos",1997,99,NA,5.2,79,"R"
"Loser",2000,92,20000000,5.1,5152,"PG-13"
"Losing Isaiah",1995,111,17000000,6.1,794,"R"
"Loss of Sexual Innocence, The",1999,106,4000000,5.3,977,"R"
"Lost Highway",1997,135,15000000,7.3,15936,"R"
"Lost In La Mancha",2002,89,NA,7.4,2112,"R"
"Lost Junction",2003,95,NA,5.1,203,"R"
"Lost Skeleton of Cadavra, The",2001,90,NA,6.7,717,"PG"
"Lost Son, The",1999,102,NA,6.7,396,"R"
"Lost Souls",2000,97,28000000,4.6,3423,"R"
"Lost Treasure",2003,85,NA,3.9,71,"R"
"Lost Treasure of Sawtooth Island, The",1999,92,NA,4.7,37,"PG"
"Lost World, The",1998,97,NA,3.8,247,"R"
"Lost World: Jurassic Park, The",1997,129,73000000,5.5,28055,"PG-13"
"Lost and Delirious",2001,103,NA,7,2917,"R"
"Lost in Space",1998,130,80000000,4.7,15209,"PG-13"
"Lost in Translation",2003,102,4000000,8,42450,"R"
"Lot Like Love, A",2005,107,30000000,4.6,786,"PG-13"
"Love & Basketball",2000,124,15000000,6.7,2093,"PG-13"
"Love & Human Remains",1993,100,NA,6.7,854,"R"
"Love 101",2000,86,NA,3.9,43,"R"
"Love Actually",2003,129,NA,7.7,21918,"R"
"Love Chronicles",2003,78,NA,7.5,6,"R"
"Love Come Down",2000,99,NA,5.4,99,"R"
"Love Don't Cost a Thing",2003,100,NA,4.1,689,"PG-13"
"Love In the Time of Money",2002,90,NA,5.5,138,"R"
"Love Is All There Is",1996,120,NA,4.1,211,"R"
"Love Kills",1998,91,NA,3.4,87,"R"
"Love Letter",1995,117,NA,7.6,996,"PG"
"Love Letter, The",1999,88,15000000,5.2,1258,"PG-13"
"Love Letters",1945,101,NA,7.3,182,"PG-13"
"Love Liza",2002,90,1000000,6.6,1588,"R"
"Love Me Twice",1996,81,NA,2.9,22,"R"
"Love Object",2003,88,1000000,6.3,427,"R"
"Love Serenade",1996,101,NA,6.8,492,"R"
"Love Song for Bobby Long, A",2004,119,NA,6.7,721,"R"
"Love Stinks",1999,94,4000000,5.3,1311,"R"
"Love Story",1970,99,2200000,6.2,2844,"PG"
"Love Thy Neighbor",2002,89,NA,3.7,17,"R"
"Love Walked In",1997,95,NA,5.4,143,"R"
"Love and Death on Long Island",1997,94,NA,6.9,1405,"PG-13"
"Love and Other Catastrophes",1996,78,250000,6.5,783,"R"
"Love and Rage",1998,100,NA,5.7,46,"R"
"Love and a Bullet",2002,85,NA,5.2,288,"R"
"Love in Paris",1997,105,NA,1.9,575,"R"
"Love the Hard Way",2001,104,NA,6.1,400,"R"
"Love! Valour! Compassion!",1997,108,NA,6.4,1036,"R"
"Love's Labour's Lost",2000,93,13000000,5.9,1254,"PG"
"Love, Honour and Obey",2000,103,NA,6,851,"R"
"Love, Sex and Eating the Bones",2003,100,NA,5.7,211,"R"
"Loveblind",2000,99,NA,4.3,39,"R"
"Loved",1997,109,NA,4.3,135,"PG-13"
"Lovelife",1997,88,NA,5.6,112,"R"
"Lovely & Amazing",2001,91,250000,6.9,1813,"R"
"Lovemaster, The",1997,84,NA,4.5,28,"R"
"Lover Girl",1997,87,1000000,5.3,102,"R"
"Lover's Knot",1996,82,NA,5,77,"R"
"Lover's Leap",1995,90,NA,3,56,"R"
"Loving Jezebel",1999,87,NA,4.2,105,"R"
"Lucie Aubrac",1997,115,NA,6.7,335,"R"
"Lucinda's Spell",1998,105,NA,3,54,"R"
"Luck of the Draw",2000,101,NA,4.6,178,"R"
"Lucky",2002,83,NA,6.2,110,"R"
"Lucky 13",2004,95,1200000,5.7,151,"R"
"Lucky Break",2001,108,6000000,6.3,707,"PG-13"
"Lucky Numbers",2000,105,65000000,5,2396,"R"
"Luckytown",2000,101,NA,4.7,257,"R"
"Lulu on the Bridge",1998,112,NA,6.1,1278,"PG-13"
"Luminarias",2000,100,1000000,2.7,381,"R"
"Lunarcop",1994,88,NA,2.6,80,"R"
"Lunes al sol, Los",2002,113,4000000,7.8,1466,"R"
"Lured Innocence",1999,93,NA,4.4,115,"R"
"Lurid Tales: The Castle Queen",1996,82,NA,2.7,17,"R"
"Lush",1999,93,NA,4.6,79,"R"
"Luther",2003,121,NA,7.1,1567,"PG-13"
"Luzhin Defence, The",2000,109,NA,7,1371,"PG-13"
"Lying In Wait",2000,90,NA,4.4,103,"R"
"M.O. of M.I.",2002,90,NA,5.5,37,"R"
"MASH",1970,112,3500000,7.8,14829,"R"
"MVP: Most Valuable Primate",2000,93,NA,4.8,196,"PG"
"Ma femme est une actrice",2001,93,NA,6.7,915,"R"
"Ma vie en rose",1997,88,NA,7.4,2228,"R"
"Macbeth in Manhattan",1999,97,NA,5.3,48,"R"
"Mach 2",2001,91,NA,3.4,70,"R"
"Macon County Jail",1997,92,NA,4.4,90,"R"
"Mad About Mambo",2000,92,NA,5.7,332,"PG-13"
"Mad City",1997,115,50000000,6,3965,"PG-13"
"Mad Dog Time",1996,85,NA,4.8,643,"R"
"Mad Dog and Glory",1993,97,NA,6.1,3601,"R"
"Mad Dogs and Englishmen",1995,97,NA,3.7,136,"R"
"Mad Love",1995,93,NA,5,1606,"PG-13"
"Madam Savant",1997,89,NA,2.1,15,"R"
"Maddening, The",1995,95,NA,4.7,157,"R"
"Made",2001,94,5000000,6.5,4487,"R"
"Made Men",1999,94,NA,5.7,457,"R"
"Made-Up",2002,96,NA,6.5,74,"PG-13"
"Madeline",1998,88,NA,6.1,550,"PG"
"Madhouse",2004,91,3000000,5.4,389,"R"
"Madison",2001,94,NA,5.8,107,"PG"
"Madness of King George, The",1994,107,NA,7.3,2901,"PG-13"
"Madonna: Truth or Dare",1991,114,4500000,5.5,2660,"R"
"Magdalene Sisters, The",2002,119,NA,8,4350,"R"
"Magenta",1996,91,NA,4.6,57,"R"
"Magic in the Water",1995,101,NA,6.2,288,"PG"
"Magnolia",1999,188,37000000,8,45992,"R"
"Maid in Manhattan",2002,105,55000000,4.6,12237,"PG-13"
"Mail Order Bride",2003,84,NA,4.2,65,"R"
"Mail Order Wife",2004,92,NA,7,53,"R"
"Mailman, The",2004,85,75000,7,6,"R"
"Majestic, The",2001,156,72000000,6.7,8649,"PG"
"Major Dundee",1965,152,3800000,6.4,468,"PG-13"
"Major League: Back to the Minors",1998,100,NA,4,1109,"PG-13"
"Major Payne",1995,95,NA,5.1,2120,"PG-13"
"Maker, The",1997,98,NA,5.6,251,"R"
"Making a Killing",2002,90,NA,6.8,16,"R"
"Malevolent",2002,95,NA,5,88,"R"
"Malibu's Most Wanted",2003,86,16000000,4.9,2099,"PG-13"
"Malicious",1995,92,NA,4.7,272,"R"
"Mallrats",1995,94,6100000,7.1,22837,"R"
"Mambo italiano",2003,92,NA,6.6,1229,"R"
"Man Apart, A",2003,110,36000000,5.4,4231,"R"
"Man Called Horse, A",1970,114,NA,6.8,705,"R"
"Man Who Cried, The",2000,97,NA,5.9,2313,"R"
"Man Who Knew Too Little, The",1997,94,NA,6.2,4457,"PG"
"Man Who Wasn't There, The",2001,118,20000000,7.7,17028,"R"
"Man from Elysian Fields, The",2001,106,6500000,6.8,1198,"R"
"Man in the Iron Mask, The",1998,132,35000000,6,11127,"PG-13"
"Man of Her Dreams",1997,94,NA,4.8,60,"R"
"Man of the Century",1999,77,NA,6.7,359,"R"
"Man of the House",2005,97,40000000,5.2,511,"PG-13"
"Man on Fire",2004,146,70000000,7.4,14358,"R"
"Man on the Moon",1999,118,52000000,7.3,19826,"R"
"Man with Rain in His Shoes, The",1998,96,NA,6.6,607,"R"
"Man-Thing",2005,96,30000000,3.8,163,"R"
"Managua",1996,108,NA,3.3,33,"R"
"Manchurian Candidate, The",2004,129,NA,6.7,9896,"R"
"Manhattan Merengue!",1995,94,NA,4.1,14,"R"
"Maniacts",2001,92,NA,5.7,48,"R"
"Manic",2001,100,NA,7.4,427,"R"
"Manna From Heaven",2002,119,NA,5.9,188,"PG"
"Manny & Lo",1996,88,500000,6.9,395,"R"
"Mansfield Park",1999,112,NA,7.2,2868,"PG-13"
"Manson Family, The",2003,95,NA,5.1,244,"R"
"Map of the World, A",1999,125,NA,6.5,1194,"R"
"Maquinista, El",2004,102,5000000,7.7,4322,"R"
"Marci X",2003,80,20000000,2.8,741,"R"
"Margaret's Museum",1995,114,NA,7.1,528,"R"
"Maria Full of Grace",2004,101,NA,7.7,4131,"R"
"Marie Baie des Anges",1997,90,NA,5.6,244,"R"
"Marilyn's Man",2004,92,825000,7.6,24,"PG"
"Marquis de Sade",1996,93,NA,3.9,114,"R"
"Mars Attacks!",1996,106,70000000,6.1,27363,"PG-13"
"Martha, Meet Frank, Daniel and Laurence",1998,88,NA,6.4,1500,"R"
"Martin Lawrence Live: Runteldat",2002,113,3000000,4.6,504,"R"
"Marvin's Room",1996,98,23000000,6.5,4005,"PG-13"
"Mary Reilly",1996,108,47000000,5.5,2806,"R"
"Mary, Queen of Scots",1971,128,NA,6.9,333,"PG-13"
"Mascara",1999,94,NA,4.9,36,"R"
"Mask of Death",1996,89,NA,4.1,82,"R"
"Mask of Zorro, The",1998,136,65000000,6.8,18220,"PG-13"
"Masked and Anonymous",2003,112,NA,4.9,773,"PG-13"
"Masseuse",1996,93,NA,2,56,"R"
"Master and Commander: The Far Side of the World",2003,138,150000000,7.5,21328,"PG-13"
"Master of Disguise, The",2002,80,16000000,2.9,3903,"PG"
"Masterminds",1997,106,NA,4.6,739,"PG-13"
"Match, The",1999,95,NA,5.7,327,"PG-13"
"MatchMaker, The",1997,97,NA,6.1,1742,"R"
"Matchstick Men",2003,120,NA,7.4,13684,"PG-13"
"Maternal Instincts",1996,92,NA,4.1,43,"PG-13"
"Matilda",1996,102,36000000,6.5,4351,"PG"
"Mating Habits of the Earthbound Human, The",1999,90,NA,6.4,1266,"R"
"Matrix Reloaded, The",2003,138,127000000,7.1,57225,"R"
"Matrix Revolutions, The",2003,125,110000000,6.3,40058,"R"
"Matrix, The",1999,136,63000000,8.5,143853,"R"
"Matter of Life and Death, A",1946,104,NA,8.1,2093,"PG"
"Max Keeble's Big Move",2001,86,12000000,5.3,587,"PG"
"Maximum Revenge",1997,78,NA,3.2,42,"R"
"Maximum Risk",1996,100,NA,4.9,2234,"R"
"May",2002,93,1700000,6.8,3324,"R"
"Maybe Baby",2000,96,NA,5.7,1017,"R"
"Mayerling",1968,140,5000000,5.6,154,"PG-13"
"Mayor of the Sunset Strip",2003,94,NA,7.5,319,"R"
"Maze",2000,97,NA,6.4,266,"R"
"McCinsey's Island",1998,95,NA,2.5,117,"PG"
"McHale's Navy",1997,108,42000000,3.7,1758,"PG"
"McKenzie Break, The",1970,108,NA,6.4,192,"PG"
"Me Myself I",1999,100,NA,6.7,964,"R"
"Me Without You",2001,107,NA,6.6,678,"R"
"Me and Will",1999,101,NA,5.3,106,"R"
"Me and You and Everyone We Know",2005,90,NA,5.7,103,"R"
"Me, Myself & Irene",2000,116,51000000,6,21305,"R"
"Mean Creek",2004,89,500000,7.3,2094,"R"
"Mean Girls",2004,97,17000000,7,11591,"PG-13"
"Mean Guns",1997,110,NA,4.8,736,"R"
"Mean Machine",2001,101,NA,6.1,2812,"R"
"Medallion, The",2003,88,41000000,4.5,2765,"PG-13"
"Medicine Show, The",2001,100,NA,6.3,81,"R"
"Meet Joe Black",1998,178,90000000,6.6,16796,"PG-13"
"Meet Prince Charming",1999,94,NA,4.7,174,"R"
"Meet Wally Sparks",1997,105,NA,4.5,677,"R"
"Meet the Deedles",1998,93,24000000,3.4,443,"PG"
"Meet the Fockers",2004,115,80000000,6.5,11950,"PG-13"
"Meet the Parents",2000,108,55000000,7,30804,"PG-13"
"Meeting Daddy",2000,96,NA,5.4,93,"R"
"Megalodon",2004,90,NA,3.5,227,"PG-13"
"Megiddo: The Omega Code 2",2001,104,22000000,3.8,729,"PG-13"
"Melinda and Melinda",2004,100,NA,6.8,1567,"PG-13"
"Melting Pot",1997,104,NA,5,35,"PG-13"
"Melvin Goes to Dinner",2003,83,NA,7.3,595,"R"
"Memento",2000,113,5000000,8.7,90317,"R"
"Memorial Day",1999,79,NA,2.2,7,"R"
"Memories",1995,113,NA,7.9,800,"PG-13"
"Memory Run",1996,90,NA,4.5,90,"R"
"Men in Black",1997,98,90000000,6.8,53231,"PG-13"
"Men in Black II",2002,88,140000000,5.6,21580,"PG-13"
"Men of Honor",2000,129,32000000,6.6,9684,"R"
"Men of War",1994,99,12000000,4.6,397,"R"
"Men with Brooms",2002,102,7500000,5.9,1096,"R"
"Menace II Society",1993,97,3500000,7.3,4704,"R"
"Mentale, La",2002,106,NA,5.2,175,"R"
"Merchant of Death",1997,96,NA,3.3,66,"R"
"Merchant of Venice, The",2004,138,30000000,7.3,1400,"R"
"Mercury Rising",1998,108,60000000,5.6,8202,"R"
"Mercy",2000,94,NA,5.2,617,"R"
"Mercy Streets",2000,106,600000,4.6,149,"PG-13"
"Message in a Bottle",1999,126,30000000,5.4,5582,"PG-13"
"Message in a Cell Phone",2000,85,NA,5.3,50,"PG"
"Messenger: The Story of Joan of Arc, The",1999,148,NA,6.2,10476,"R"
"Metoroporisu",2001,107,14500000,7.3,3380,"PG-13"
"Metro",1997,117,55000000,5.2,3560,"R"
"Metroland",1997,101,NA,6.5,620,"R"
"Mexican, The",2001,123,38000000,6,13935,"R"
"Mi Casa, Su Casa",2003,94,NA,5.1,105,"PG"
"Michael Moore Hates America",2004,125,200000,4.2,629,"R"
"Mickey",2004,90,6000000,5.4,52,"PG"
"Mickey Blue Eyes",1999,102,40000000,5.8,7247,"PG-13"
"Midnight Confessions",1995,81,NA,3.8,27,"R"
"Midnight Hour, The",2000,91,NA,2.5,57,"R"
"Midnight Man",1995,87,NA,5.9,52,"R"
"Midnight Mass",2003,98,NA,2.2,84,"R"
"Midnight Tease II",1995,91,NA,3,69,"R"
"Midnight in the Garden of Good and Evil",1997,155,30000000,6.4,8517,"R"
"Midsummer Night's Dream, A",1999,116,NA,6.3,4987,"PG-13"
"Mifunes sidste sang",1999,98,NA,7.1,2696,"R"
"Mighty Aphrodite",1995,95,15000000,7,7083,"R"
"Mighty Joe Young",1998,114,49000000,5.6,2873,"PG"
"Mighty Morphin Power Rangers: The Movie",1995,95,NA,3.1,2250,"PG"
"Mighty Wind, A",2003,91,NA,7.3,5941,"PG-13"
"Mighty, The",1998,100,NA,7.1,2577,"PG-13"
"Militia",2000,89,NA,3.6,162,"R"
"Million Dollar Baby",2004,132,30000000,8.3,20195,"PG-13"
"Million Dollar Hotel, The",2000,122,8000000,5.5,4746,"R"
"Million Dollar Kid, The",2000,91,NA,4.5,73,"PG"
"Millions",2004,98,NA,7.9,938,"PG-13"
"Milo",1998,91,NA,3.2,216,"R"
"Milwaukee, Minnesota",2003,95,NA,6.6,91,"R"
"Mimic",1997,105,25000000,5.6,6052,"R"
"Mind Games",1996,104,NA,5,54,"R"
"Mind the Gap",2004,134,NA,4.5,23,"R"
"Mindbender",1996,93,NA,3.9,53,"PG-13"
"Mindhunters",2004,102,27000000,6.3,3925,"R"
"Mindstorm",2001,97,NA,4.2,128,"R"
"Minion, The",1998,95,12000000,3.2,338,"R"
"Minority Report",2002,145,102000000,7.8,51199,"PG-13"
"Minus Man, The",1999,111,NA,6.2,1921,"R"
"Mio viaggio in Italia, Il",1999,246,NA,8.2,360,"PG-13"
"Miracle",2004,135,NA,7.7,5785,"PG"
"Mirage",1995,92,NA,5,51,"R"
"Miranda",2002,90,NA,5.7,443,"R"
"Mirror Has Two Faces, The",1996,122,42000000,5.7,2775,"PG-13"
"Misbegotten",1998,95,NA,3.9,130,"R"
"Mischievous",1996,97,NA,2.8,35,"R"
"Miss Congeniality",2000,109,45000000,6.2,16235,"PG-13"
"Miss Congeniality 2: Armed and Fabulous",2005,115,NA,5,1555,"PG-13"
"Miss Julie",1999,103,NA,6,380,"R"
"Miss Monday",1998,90,NA,6.4,80,"R"
"Mission Kashmir",2000,160,NA,7.2,289,"R"
"Mission: Impossible",1996,110,75000000,6.6,33496,"PG-13"
"Mission: Impossible II",2000,123,125000000,5.7,35958,"PG-13"
"Mistress",1992,110,NA,5.4,402,"R"
"Mistress of Seduction",1998,92,NA,3.1,51,"R"
"Mixed Nuts",1994,97,NA,4.7,1769,"PG-13"
"Mixing Nia",1998,92,NA,6.1,64,"R"
"Mod Squad, The",1999,92,NA,3.9,2969,"R"
"Modern Affair, A",1995,90,NA,5.4,45,"R"
"Modern Vampires",1998,91,2000000,4.1,700,"R"
"Modigliani",2004,128,12000000,7,155,"R"
"Mojave Moon",1996,95,NA,5.5,361,"R"
"Moll Flanders",1996,113,NA,5.9,784,"PG-13"
"Molly",1999,102,21000000,5.5,610,"PG-13"
"Molly Maguires, The",1970,124,11000000,6.6,455,"PG"
"Molokai: The Story of Father Damien",1999,113,NA,6.1,250,"PG"
"Mom, Can I Keep Her?",1998,90,NA,3.5,46,"PG"
"Mona Lisa Smile",2003,117,65000000,6.1,6838,"PG-13"
"Mondovino",2004,159,NA,7.2,135,"PG-13"
"Money Buys Happiness",1999,109,NA,5.2,16,"R"
"Money Talks",1997,97,25000000,5.5,2720,"R"
"Money Train",1995,103,68000000,5.1,5081,"R"
"Monkey's Mask, The",2000,94,NA,5.5,305,"R"
"Monkeybone",2001,92,75000000,4.7,3112,"PG-13"
"Mononoke-hime",1997,134,NA,8.3,19350,"PG-13"
"Monsieur Ibrahim et les fleurs du Coran",2003,96,NA,7.4,1247,"R"
"Monsoon Wedding",2001,114,NA,7.4,5241,"R"
"Monsoon Wife",2004,92,1000000,4.7,15,"R"
"Monster",2003,109,8000000,7.4,12306,"R"
"Monster Mash: The Movie",1995,82,NA,3.3,46,"PG"
"Monster's Ball",2001,112,4000000,7.3,15037,"R"
"Monster-in-Law",2005,102,60000000,5.6,147,"PG-13"
"Montana",1998,92,4000000,6.1,417,"R"
"Month by the Lake, A",1995,85,NA,6.4,480,"PG"
"Moonbase",1998,89,NA,3.5,67,"R"
"Moondance",1995,92,NA,6,64,"R"
"Moonlight Mile",2002,117,20000000,6.9,3479,"PG-13"
"Moonlight and Valentino",1995,105,NA,5.7,957,"R"
"More Dead Than Alive",1968,96,NA,6.7,54,"R"
"More Dogs Than Bones",2000,99,NA,4.8,101,"R"
"Morella",1997,90,NA,2.6,36,"R"
"Morgan's Ferry",1999,91,NA,6,223,"PG-13"
"Mortal Kombat",1995,101,20000000,5,8779,"PG-13"
"Mortal Kombat: Annihilation",1997,91,30000000,3,5799,"PG-13"
"Morvern Callar",2002,97,NA,6.3,1580,"R"
"Mosaic Project, The",1994,95,NA,3,22,"R"
"Mosquito",1995,92,200000,3.3,312,"R"
"Most Wanted",1997,99,NA,5.3,1052,"R"
"Mostro, Il",1994,112,NA,7.1,1084,"R"
"Motel Blue",1999,87,NA,4.7,55,"R"
"Mother Night",1996,114,5500000,7.1,1232,"R"
"Mothman Prophecies, The",2002,119,42000000,6.5,11073,"PG-13"
"Motives",2004,87,NA,4.5,135,"R"
"Moulin Rouge!",2001,127,52500000,7.7,47689,"PG-13"
"Mousehunt",1997,99,38000000,5.8,4637,"PG"
"Moving Target",1997,106,NA,4.9,56,"R"
"Moving Targets",1998,90,NA,3.4,26,"PG-13"
"Mr 3000",2004,104,30000000,5.7,1459,"PG-13"
"Mr. Accident",2000,88,NA,3.8,213,"PG-13"
"Mr. Bones",2001,101,NA,3,304,"PG"
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,91,NA,7.3,1181,"PG-13"
"Mr. Deeds",2002,96,50000000,5.5,11729,"PG-13"
"Mr. Holland's Opus",1995,143,NA,7.1,9273,"PG"
"Mr. Jealousy",1997,103,NA,6,477,"R"
"Mr. Magoo",1997,87,NA,3.3,2744,"PG"
"Mr. Reliable",1996,112,NA,6.6,161,"R"
"Mr. Rice's Secret",2000,113,NA,5.6,157,"PG"
"Mr. Smith Gets a Hustler",2002,83,NA,4.8,53,"R"
"Mr. Wrong",1996,96,NA,3.4,1772,"PG-13"
"Mrs. Brown",1997,103,NA,7.3,2761,"PG"
"Mrs. Dalloway",1997,97,NA,6.8,665,"PG-13"
"Mrs. Munck",1995,96,NA,4,29,"R"
"Mrs. Winterbourne",1996,105,25000000,5.8,1310,"PG-13"
"Mu Sa Do",2002,93,NA,3.6,24,"R"
"Mua he chieu thang dung",2000,112,NA,7,1021,"PG-13"
"Mudge Boy, The",2003,94,800000,6.8,204,"R"
"Muertos de risa",1999,111,3500000,6.3,334,"R"
"Mule Skinner Blues",2001,93,NA,6.3,37,"R"
"Mulholland Dr.",2001,147,15000000,7.9,35504,"R"
"Mulholland Falls",1996,107,NA,5.8,3155,"R"
"Mulletville",2002,93,NA,6.6,27,"R"
"Multiplicity",1996,117,45000000,5.7,5241,"PG-13"
"Mumford",1999,112,28000000,6.9,3384,"R"
"Mummy Returns, The",2001,130,98000000,6.1,23551,"PG-13"
"Mummy's Kiss, The",2003,88,NA,2.5,79,"R"
"Mummy, The",1999,124,76000000,6.5,36216,"PG-13"
"Murder by Numbers",2002,120,50000000,6,8358,"R"
"Murdercycle",1999,90,NA,2.3,122,"PG-13"
"Murdered Innocence",1995,80,NA,5.4,20,"R"
"Murders in the Rue Morgue",1971,87,700000,4.9,137,"PG-13"
"Muriel's Wedding",1994,106,3000000,7.1,6685,"R"
"Murphy's War",1971,107,NA,6.6,415,"PG-13"
"Muse, The",1999,97,15000000,5.6,3513,"PG-13"
"Music From Another Room",1998,104,NA,6.5,1025,"PG-13"
"Music of the Heart",1999,124,27000000,6.6,2348,"PG"
"Musketeer, The",2001,104,40000000,4.4,3966,"PG-13"
"Mutant Aliens",2001,81,200000,6.4,223,"R"
"Mutant Species",1995,100,1750000,2.8,42,"R"
"Mute Witness",1994,95,2000000,6.8,1202,"R"
"Mutual Needs",1997,94,NA,3.7,65,"R"
"My 5 Wives",2000,100,NA,4.4,245,"R"
"My Baby's Daddy",2004,88,NA,3.8,632,"PG-13"
"My Best Friend's Wedding",1997,105,46000000,6.4,16648,"PG-13"
"My Big Fat Greek Wedding",2002,95,5000000,6.9,21675,"PG"
"My Boss's Daughter",2003,90,14000000,4.1,2765,"R"
"My Brother the Pig",1999,92,NA,5,108,"PG"
"My Cousin Vinny",1992,120,11000000,7.2,10877,"R"
"My Dog Skip",2000,95,7000000,7.1,3109,"PG"
"My Family",1995,128,5500000,7,859,"R"
"My Favorite Martian",1999,93,60000000,4.5,1942,"PG"
"My Fellow Americans",1996,101,21500000,6.3,2752,"PG-13"
"My First Mister",2001,109,NA,7.2,1593,"R"
"My Giant",1998,103,NA,4.9,1246,"PG"
"My Life So Far",1999,98,NA,6.6,665,"PG-13"
"My Life Without Me",2003,107,NA,7.6,3017,"R"
"My Life's in Turnaround",1993,84,22000,3.9,196,"R"
"My Little Eye",2002,92,3000000,5.9,2244,"R"
"My Name Is Joe",1998,105,NA,7.4,1810,"R"
"My Name Is Modesty: A Modesty Blaise Adventure",2003,78,NA,4.3,203,"R"
"My Son the Fanatic",1997,87,NA,7,494,"R"
"My Summer of Love",2004,86,NA,7.3,222,"R"
"My Teacher's Wife",1995,89,NA,5.2,224,"R"
"Mystery Men",1999,121,68000000,5.8,13331,"PG-13"
"Mystery Monsters",1997,55,NA,2.5,31,"PG"
"Mystery, Alaska",1999,119,28000000,6.4,5440,"R"
"Mystic Masseur, The",2001,117,2500000,5.2,157,"PG"
"Mystic River",2003,137,30000000,8,28969,"R"
"Myth of Fingerprints, The",1997,93,NA,6.2,926,"R"
"NASCAR 3D: The IMAX Experience",2004,40,NA,7,167,"PG"
